neuron,skeleton_id,Signal Flow,Eigenvalue 0.14,Eigenvalue 0.42,Eigenvalue 0.44,Eigenvalue 0.48,Eigenvalue 0.54,Eigenvalue 0.61,Eigenvalue 0.64,Eigenvalue 0.67,Eigenvalue 0.69,Eigenvalue 0.74,Graph partition (cell types),Graph partition (cell types) mirror,Betweenness centrality,Cable length (nm),Cable w/o principal branch (nm),Num. input synapses,Num. output synapses,Ratio (I - O) / (I + O),Segregation index,Asymmetry index,Cable asymmetry index,Output asymmetry index,Input asymmetry index,Cable of terminal segments (nm),Norm. cable of terminal segments (nm),Num. terminal segments,Num. branches,Cable of hillock (nm),Cable of main dendritic shaft (nm),PC 1 - 2.65,PC 2 - 1.35,PC 3 - 0.99,PC 4 - 0.55,PC 5 - 0.29,PC 6 - 0.17
A05q_a1r,4833168,-0.9802918759896868,-0.2608577879669298,0.09158904506590293,0.049591903082387756,-0.047143265473778284,0.008300384881143551,0.05039105937777889,-0.2737902112407678,-0.0744380617216561,-0.27281524924591627,-0.08595792923681563,0.09158904506590293,-0.09158904506590293,0.001111052325273795,271722,157855.0866649207,127,186,-0.18849840255591055,0.5976233419160367,0.6979633028748525,0.7376179186158975,0.3118327639653004,0.7343741660660423,57133.21009316362,0.21026346815187444,95,92,28001.992783809917,10056.539260532067,-0.11734506374394682,-0.03252932569177308,-0.36801756605380137,1.8839246569069714,0.5692814460181012,0.15182466159321456
A05q_a2r,5064747,-0.4737251191669374,-0.2702744256298697,0.1030837060307706,0.07926036485484869,-0.006838920988655875,-0.04362110837575486,-0.0014004123249331001,-0.27387727368823833,-0.12677042421585838,-0.31071919727273506,-0.07038095888908831,0.1030837060307706,-0.1030837060307706,0.1285646262102534,303659,202948.9841673907,138,184,-0.14285714285714285,0.7699740067209759,0.6376779427826005,0.6667553142808516,0.2867693625469192,0.634102386125563,87040.64724552924,0.2866394450535938,118,111,31264.61965001921,4426.451292835836,1.1050062459539713,0.7079298026830865,0.2871425495564565,-0.23071900304805193,1.1572066669078787,0.1124916875139954
A23g_a1l,5132886,-0.8952876418265552,-0.062101020336437454,0.031416616206045835,0.17061400380498745,-0.14736771706556823,-0.08664726268179357,0.14524992157851685,0.07619443816254237,0.28322191677547076,0.12679597539805978,0.261277926923143,0.031416616206045835,-0.031416616206045835,0.0063488704301359715,230034,150839.05363622718,84,86,-0.011764705882352941,0.15592007589175483,0.6673572037610946,0.6460461975468463,0.4894395366005279,0.6984254430230709,66586.94633344148,0.2894656717417489,83,78,10079.179866051776,6424.037483384906,-0.8745792280687341,-0.7947055811158733,1.2298079068538357,1.0414080142197846,-0.24126171126448243,-1.6839419396987916
gorogoro t2r,5206247,-1.71409489754712,-0.3969818898247387,0.07727531442258095,-0.028905063693399166,-0.14500279643337746,0.10503824375064866,0.18571188826991739,-0.08387878537200315,0.09803121478225021,0.026044636841157653,-0.08523414018579004,0.07727531442258095,-0.07727531442258095,0.025395481720543886,690698,509133.2051987122,389,596,-0.2101522842639594,0.49238510736767716,0.7082608056222326,0.7403277142310419,0.26867823260744794,0.7294842470453058,228548.17784582663,0.33089451228442335,353,339,35908.53742417528,5116.160797894376,-0.8846889861922766,1.2631469592422624,-0.2711634917853933,0.3995366382936608,-0.9703009038705417,0.7336779548996069
basin-related descending 1 sog_l,5268581,0.16988642717695832,0.08761202532282263,0.05046990162221926,0.1578592515724846,-0.03239562518390841,0.012108211540285605,0.028103037216564562,-0.10009298584993304,-0.2773552880054479,-0.022397359780054044,-0.07533319912788108,0.1578592515724846,0.1578592515724846,1,681923,437669.44640815264,391,871,-0.3803486529318542,0.18770650012290235,0.7153203547718368,0.7436681867870828,0.4424024500478321,0.7440775818193844,202043.55451955553,0.2962849977483609,223,211,102872.94968481711,4532.073248908074,-0.38338988321803547,0.344915247523913,-0.13895426933331173,0.6629018566326965,-3.085298292998459,-0.5998661863116008
telephone-1L,5691934,-0.4654838219856091,-0.013834456833858194,-0.4851992120215546,-0.001652977382764675,0.15386500529555713,0.03899995243972352,0.12584832665613185,0.023545875400024147,0.08185485789775154,-0.0817839966513347,-0.08108958541446526,-0.4851992120215546,0.4851992120215546,0.4854240516374795,583708,455974.0646903743,306,274,0.05517241379310345,0.41534646309042345,0.6831509899883395,0.711493427085162,0.27059829226087406,0.6512082345650917,175318.0514908821,0.3003523191234009,301,290,20389.662916072935,9651.382030758328,-0.9138705848592787,-0.3376573497929232,-0.5675786745624141,-0.47490005729404217,0.13342064550304505,0.4723965345978766
telegoro-1L,5754346,-1.3886990761397453,-0.06155540210774631,-0.28965361892257413,0.004401048505140817,0.10946012291063521,0.12033342173120154,0.36201325592888495,-0.1661721243625989,0.05378330182478945,0.04061397471524296,0.027534775973036142,-0.28965361892257413,0.28965361892257413,0.533569652399344,439874,262639.7758905431,156,174,-0.05454545454545454,0.8050607534664767,0.6740386346353837,0.7234162687920546,0.193594378388532,0.5904814227898146,112074.58723291472,0.25478793298288765,164,158,82923.2998438531,4857.587779215684,1.9760314538214483,0.41755721536466595,-0.3816466515348957,-1.2986573106126194,0.48952880626131307,1.0804005619186599
ipsigoro R,5794678,-0.6633551238877057,-0.33686000141418193,0.07011519334543981,0.007120509596658107,-0.03329362253069349,0.0722356349730636,0.03521987960904649,-0.06739716988563105,0.05912578075764535,0.15160525435002495,0.05793157544058849,0.07011519334543981,-0.07011519334543981,0.058727051478757744,492171,319663.06402121607,170,378,-0.3795620437956204,0.6183202067152702,0.6693024197223211,0.7289629697300148,0.3522904633015096,0.6711561795818338,131292.78197293365,0.26676253166670455,225,218,48965.3402623309,15935.935073119736,-0.23669281507656798,-0.9674710192618402,-2.230805435454105,0.6198067882136356,0.4833291554911657,-0.027955173121548132
A23g_a1r,5997121,-0.5063460984148427,-0.09214592249460903,0.10320060822215112,-0.13363494894050573,0.25630878407215607,-0.4646067073807074,0.03755522333018605,-0.04035138046623389,0.1361509120220739,-0.007305842970521208,-0.16134333370979878,0.10320060822215112,-0.10320060822215112,0.025395481720543886,244561,151557.30607527596,91,133,-0.1875,0.06903844573542939,0.7103495407843218,0.6769102017949971,0.43368283570247534,0.7100803521046181,77983.77492231355,0.3188724895723911,85,80,15330.092314574184,1525.9286826954867,-0.7758274503864129,-0.188747503331329,2.333856314584641,0.861080146964591,-0.863949122449347,-1.243385471767134
basin-related descending 1 sog_r,6264270,0.36699983171023864,0.10612751084999614,0.03765966911004426,-0.2244064296749722,-0.05499784004839348,0.07634968861312472,-0.05956691605755881,0.05577861562522782,-0.040337320045634006,-0.07235680251303643,0.12088206002542923,-0.2244064296749722,-0.2244064296749722,0.7372172296250388,824379,584256.7993073902,476,855,-0.284748309541698,0.2574980909338854,0.7344774211220142,0.7808413834395136,0.4954895168449178,0.7321741250152805,288436.469277743,0.34988332948527684,275,268,84530.59589972433,3947.7376339552843,-0.7992649284396645,0.9679400737234739,-0.4975003250233385,0.10013911162282318,-2.972518270161767,-1.0367352554075877
Ipsiphone R,9720614,-0.6143989209279458,-0.012538418565225024,-0.1229142654579943,0.1159631797450592,0.14708713207916502,0.03730346492675522,-0.24098657122780975,0.29221175423589535,-0.08437176337614277,-0.0670757163351005,-0.09569983075603909,-0.1229142654579943,0.1229142654579943,0.007671551769747632,430039,364712.1993233075,216,376,-0.2702702702702703,0.5927275147299171,0.6456043836760131,0.6506531571187226,0.31975876400347863,0.6418684592166122,161583.06282170062,0.37574048591337206,259,241,20678.58167357235,2066.855428566064,0.33428127936543045,0.9953211693851745,0.7991045287981271,-0.6134203850036849,0.4119784352488804,-0.16697834740505144
A09g a1l Basin-3,10179501,0.6681276178110414,0.007801728366812176,0.11271889601749677,-0.20128470679491228,0.2912192901459306,-0.5096206897349581,0.07839559628707221,0.0023037444002073997,0.13401625880619017,-0.0007078561538081788,-0.13026463363196233,-0.20128470679491228,-0.20128470679491228,0.031612084016718695,255926,190855.45864747182,169,134,0.11551155115511551,0.6674320697049958,0.5891811634692551,0.5552672516997865,0.12404937096714158,0.597073760985701,75232.12182086949,0.29396044880500416,104,98,10283.65163311472,3184.958676074825,0.9048333416244755,0.3159323617043257,1.2188683229861295,-0.9688313881518928,1.7411191836394628,1.2952170516396586
Ipsiphone L,10893103,-0.8045495125366801,0.017763492891900306,-0.12469238247059758,-0.04475592493416401,0.0757619504437887,0.14031739070087862,0.3119237579457475,-0.19719634180829437,-0.0213902901622552,0.12916144535080545,0.18736253724493684,-0.04475592493416401,-0.04475592493416401,0,343273,280696.27618175314,183,316,-0.2665330661322645,0.576277716882274,0.6200966640567697,0.6501521114641381,0.22271125630919275,0.6116775812365925,114160.16724630575,0.3325637823140933,166,157,24325.099654450783,6224.133648530207,0.48925321546167166,-0.16420681847894808,0.3977280283843889,-0.7269571717975212,1.0779153745883299,0.6129421929383045
